State,Total,Male,Female,2016_Party_Popular_Vote,Coast
Alaska,733375,384160,349215,Conservative,West
Alabama,4830620,2341093,2489527,Conservative,
Arkansas,2958208,1451913,1506295,Conservative,
Arizona,6641928,3299088,3342840,Conservative,
California,38421464,19087135,19334329,Liberal,West
Colorado,5278906,2648667,2630239,Liberal,
Connecticut,3593222,1751607,1841615,Liberal,East
District of Columbia,647484,306674,340810,Liberal,
Delaware,926454,448413,478041,Liberal,East
Florida,19645772,9600009,10045763,Conservative,East
Georgia,10006693,4883331,5123362,Conservative,East
Hawaii,1406299,709871,696428,Liberal,West
Iowa,3093526,1534595,1558931,Conservative,
Idaho,1616547,810464,806083,Conservative,
Illinois,12873761,6316899,6556862,Liberal,
Indiana,6568645,3235263,3333382,Conservative,
Kansas,2892987,1439862,1453125,Conservative,
Kentucky,4397353,2164208,2233145,Conservative,
Louisiana,4625253,2261156,2364097,Conservative,
Massachusetts,6705586,3249650,3455936,Liberal,East
Maryland,5930538,2872643,3057895,Liberal,East
Maine,1329100,650081,679019,Liberal,East
Michigan,9900571,4861973,5038598,Conservative,
Minnesota,5419171,2692166,2727005,Liberal,
Missouri,6045448,2964003,3081445,Conservative,
Mississippi,2988081,1451723,1536358,Conservative,
Montana,1014699,510163,504536,Conservative,
North Carolina,9845333,4795408,5049925,Conservative,East
North Dakota,721640,367963,353677,Conservative,
Nebraska,1869365,929606,939759,Conservative,
New Hampshire,1324201,653484,670717,Liberal,East
New Jersey,8904413,4343027,4561386,Liberal,East
New Mexico,2084117,1032414,1051703,Liberal,
Nevada,2798636,1407735,1390901,Liberal,
New York,19673174,9541801,10131373,Liberal,East
Ohio,11575977,5662893,5913084,Conservative,
Oklahoma,3849733,1906944,1942789,Conservative,
Oregon,3939233,1948453,1990780,Liberal,West
Pennsylvania,12779559,6245344,6534215,Conservative,East
Puerto Rico,3583073,1713860,1869213,,
Rhode Island,1053661,510388,543273,Liberal,East
South Carolina,4777576,2322409,2455167,Conservative,East
South Dakota,843190,423477,419713,Conservative,
Tennessee,6499615,3167756,3331859,Conservative,
Texas,26538614,13171316,13367298,Conservative,
Utah,2903379,1459229,1444150,Conservative,
Virginia,8256630,4060948,4195682,Liberal,East
Vermont,626604,308573,318031,Liberal,
Washington,6985464,3487725,3497739,Liberal,West
Wisconsin,5742117,2851385,2890732,Conservative,
West Virginia,1851420,913631,937789,Conservative,
Wyoming,579679,295561,284118,Conservative,